kyiv	stopwarinukraine	12
mariupol	stopwarinukraine	12
kyiv	mariupol	336
ukraina	usa	98
kiev	russia	298
mariupol	usa	66
kiev	usa	60
german	ukraine	426
bundestag	eu	2
eu	ukraine	298
nestle	ukraine	214
biden	lavrov	2
supportukraine	ukraine	136
kremlin	usa	6
crypto	usa	4
nato	ukraine	1198
ukraine	ukrainian	534
russian	ukrainerussiawar	232
europe	ukrainerussiawar	24
ukrainerussiawar	ukrainian	158
russia	ukrainian	386
russian	usa	66
nato	russian	54
europe	russian	84
russian	ukrainian	570
ukrainian	usa	100
nato	ukrainian	42
europe	ukrainian	20
moldova	ukraine	1642
putinwarcriminal	ukraine	298
russianukrainianwar	ukraine	200
donbass	russian	18
uae	ukraine	20
ukraina	ukraine	632
ukraina	ukrainewar	106
russia	ukrainewar	382
putin	ukrainewar	142
russia	russiaukraineconflict	76
mariupol	stoprussia	252
russia	war	496
russie	zelensky	86
putinwarcrimes	russianukrainianwar	8
russianukrainianwar	standwithukraine	160
russianukrainianwar	stopwar	12
putinwarcrimes	stopwar	8
standwithukraine	stopwar	1602
biden	kremlin	30
kremlin	putin	366
kharkiv	warinukraine	6
kharkiv	war	34
war	warinukraine	38
stopputinnow	stopwar	42
kherson	russian	298
breaking	kremlin	26
kharkiv	putin	28
russie	ukrainerussiawar	22
russie	ukraina	22
france	russie	32
peace	russia	44
israel	russia	48
peace	ukraine	236
israel	peace	2
donbass	donetsk	46
donetsk	russia	48
donetsk	ukraine	86
donetsk	europe	2
donetsk	usa	2
donetsk	putin	8
donetsk	nato	10
donbass	russia	352
donbass	ukraine	322
donbass	europe	2
donbass	usa	2
donbass	putin	36
donbass	nato	14
europe	putin	16
putinwarcriminal	zelensky	34
putinswar	ukrainecrisis	2
nestle	russia	216
russian	zakharova	6
tigray	ukraine	156
india	israel	2
india	russian	18
israel	russian	10
ukraineunderattack	ukrainian	80
putinwarcriminal	usa	12
kyiv	stoprussia	50
stoprussia	ukraineunderattack	100
kharkiv	russia	108
kharkiv	ukraine	524
bitcoin	crypto	208
crypto	russia	66
putinwarcriminal	standwithukraine	194
nato	un	148
poland	ukraine	226
russia	zakharova	68
europe	ukraineunderattack	8
closetheskyoverukraine	stopputinnow	16
chernihiv	mariupol	2
chernihiv	putinwarcriminal	4
biden	warcrimes	32
putin	warcrimes	126
china	ukraineunderattack	4
eu	ukrainerussiawar	12
moldova	refugees	2
putinwarcriminal	stopputin	50
poland	russia	98
israel	poland	2
kherson	war	16
kherson	russia	78
russian	uk	20
ukraina	ukrainian	60
ukrainewar	ukrainian	60
kiev	standwithukraine	14
nowar	ukraina	64
nowar	ukraine	168
biden	trump	42
marioupol	ukrainerussiawar	16
firefighters	ukraine	1080
firefighters	kyiv	1074
mariupol	ukrainian	286
russiainvadedukraine	ukraine	142
ireland	stpatricksday	2138
ukrainecrisis	ukrainerussiawar	28
russiaukraineconflict	ukrainerussiawar	56
russia	ukrainecrisis	154
russiaukraineconflict	ukrainecrisis	6
russian	stoprussia	44
foxnews	russia	16
putinswar	russia	68
foxnews	ukraine	40
foxnews	putinswar	2
kyiv	russian	434
abbvie	ukraine	544
botox	ukraine	542
abbvie	botox	546
us	zelensky	328
bundestag	us	290
china	ukraine	546
kharkiv	mariupol	292
lviv	mariupol	104
closetheskyoverukraine	mariupol	308
mariupol	standwithukraine	464
freeukraine	mariupol	106
mariupol	stopthewar	104
kharkiv	kyiv	356
kyiv	lviv	124
closetheskyoverukraine	kyiv	102
kyiv	standwithukraine	1728
freeukraine	kyiv	1508
kyiv	stopthewar	1510
kharkiv	lviv	106
closetheskyoverukraine	kharkiv	98
kharkiv	standwithukraine	398
freeukraine	kharkiv	100
kharkiv	stopthewar	98
closetheskyoverukraine	lviv	98
lviv	standwithukraine	98
freeukraine	lviv	98
lviv	ukraine	286
lviv	stopthewar	98
closetheskyoverukraine	standwithukraine	292
closetheskyoverukraine	freeukraine	106
closetheskyoverukraine	ukraine	402
closetheskyoverukraine	stopthewar	100
freeukraine	standwithukraine	1624
freeukraine	stopthewar	1598
stopthewar	ukraine	278
russie	ukrainewar	62
russie	ukraineunderattack	76
ukraineunderattack	ukrainewar	376
cryptocurrency	ukrainian	284
russian	sbu	672
russiaukrainewar	zelensky	262
ukraina	war	160
russianarmy	ukrainian	30
macron	zelensky	128
kherson	ukrainian	914
ukraine	ukrainecrisis	82
kyiv	ukrainecrisis	20
mariupol	russian	280
azov	nato	46
mariupol	nato	42
azov	mariupol	356
kherson	ukraine	696
ukraineinvasion	ukrainerussiawar	108
ukraineinvasion	ukraineunderattack	104
azov	marioupol	20
azov	russian	106
azov	ukrainewar	14
azov	ukraineunderattack	12
russian	ukrainewar	112
russian	ukraineunderattack	142
ukrainerussiawar	ukrainewar	652
russia	us	486
breaking	ukrainian	24
ukrainewar	zelensky	70
putinswar	zelensky	16
putin	putinswar	80
putinswar	ukrainewar	12
stopthewar	ukrainerussiawar	70
stoprussia	ukraine	668
nft	stopthewar	4
stopputin	warcrimes	30
